id,title,author_person_id,publisher,format,year,store_link,cover_link,created_date,updated_date,,,
61,Kanazawa Soke,0,Shotokan Karate-Do Intern,WEB,2014-01-03,http://www.skifworld.com/soke-kanazawa.php,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
62,Kancho Hirokazu Kanazawa 10th Dan,0,Yama Kai Shotokan Karate,WEB,2014-01-03,http://www.yamakai.org/profile/kanazawa.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
63,Masatoshi Nakayama,0,Wrekin Shotokan Karate Cl,WEB,2014-01-03,http://www.wrekinshotokan.com/nakayama.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
64,The Hawaii Karate Seinenkai Salutes: Hirokazu Kana,0,Hawaii Karate Seinenkai,WEB,2014-01-03,http://www.seinenkai.com/salute-kanazawa.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
65,Hirokazu Kanazawa Profile,0,The Shotokan Way,WEB,2014-01-03,http://www.theshotokanway.com/hirokazukanazawaprof,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
66,Masatoshi Nakayama,0,Wikipedia,WEB,2014-01-06,http://en.wikipedia.org/wiki/Masatoshi_Nakayama#ci,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
67,Master Nakayama Masatoshi,0,Japan Karate Association,WEB,2014-01-06,http://www.jka.or.jp/english/about/nakayama.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
68,Modern Masters,0,The Victoria Shotokan Kar,WEBARTICLE,2011-08-29,http://www.shotokankarate.ca/modern%20karate%20mas,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
69,Growth and Development,0,Japan Karate Association,WEB,2014-01-06,http://www.jka.or.jp/english/about/growth.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
70,History of ISKF,0,International Shotokan Ka,WEB,2014-01-06,http://www.iskf.com/history%20of%20iskf.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
71,General Information,0,Hoitsugan,WEB,2014-01-06,http://www.hoitsugan.com,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
